Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
BCE,37.772,17.862,2.2603,43.939,333,Telecommunication Services,Telecommunications services,North America,Canada,Canada,,George Cope,http://www.forbes.com/companies/bce/,0.051441772,0.12654238,
MS&AD Insurance,20.257,47.248,0.8778,202.958,334,Financials,Property & Casualty Insurance,Asia,Japan,Japan,,Yasuyoshi Karasawa,http://www.forbes.com/companies/msad-insurance/,0.004325033,0.018578564,
Surgutneftegas,17.192,19.823,3.3372,74.498,335,Energy,Oil & Gas Operations,Asia,Russia,Russia,,Vladimir Bogdanov,http://www.forbes.com/companies/surgutneftegas/,0.044795833,0.168349897,
SunTrust Banks,32.185,9.858,2.449,204.885,336,Financials,Regional Banks,North America,United States,Georgia,Georgia,Bill Rogers Jr.,http://www.forbes.com/companies/suntrust-banks/,0.011953047,0.248427673,
PayPal,94.041,13.807,1.922,42.322,337,Financials,Consumer Financial Services,North America,United States,California,California,Daniel Schulman,http://www.forbes.com/companies/paypal/,0.045413733,0.139204751,
Samsung Life Insurance,21.449,25.303,1.032,264.019,338,Financials,Life & Health Insurance,Asia,South Korea,South Korea,,Sung-Chul Hyun,http://www.forbes.com/companies/samsung-life-insurance/,0.00390881,0.040785678,
CSX,55.226,11.415,5.804,37.439,339,Industrials,Railroads,North America,United States,Florida,Florida,James Foote,http://www.forbes.com/companies/csx/,0.155025508,0.508453789,
Synchrony Financial,25.745,14.035,2.076,95.559,340,Financials,Consumer Financial Services,North America,United States,Connecticut,Connecticut,Margaret Keane,http://www.forbes.com/companies/synchrony-financial/,0.021724798,0.147915924,
Greenland Holdings Group,13.946,44.798,1.4862,138.051,341,Financials,Real Estate,Asia,China,China,,Jian Huang,http://www.forbes.com/companies/greenland-holdings-group/,0.010765587,0.033175588,
Rolls-Royce Holdings,21.072,21.001,5.4179,40.585,341,Industrials,Aerospace & Defense,Europe,United Kingdom,United Kingdom,,David Arthur,http://www.forbes.com/companies/rolls-royce-holdings/,0.133495134,0.257982953,
Daiwa House Industry,25.308,34.25,2.1326,37.943,343,Industrials,Construction Services,Asia,Japan,Japan,,Takeo Higuchi,http://www.forbes.com/companies/daiwa-house-industry/,0.056205361,0.062265693,
Nike,110.288,35.261,1.804,22.552,344,Consumer Discretionary,Apparel/Accessories,North America,United States,Oregon,Oregon,Mark Parker,http://www.forbes.com/companies/nike/,0.079992905,0.05116134,
Eaton,33.44,20.807,3.036,32.668,345,Industrials,Other Industrial Equipment,Europe,Ireland,Ireland,,Craig Arnold,http://www.forbes.com/companies/eaton/,0.092934982,0.145912433,
American Electric,33.078,15.527,1.7748,65.61,346,Utilities,Electric Utilities,North America,United States,Ohio,Ohio,Nicholas Akins,http://www.forbes.com/companies/american-electric/,0.027050754,0.114304115,
Natixis,26.002,10.696,1.776,624.4,347,Financials,Major Banks,Europe,France,France,,Laurent Mignon,http://www.forbes.com/companies/natixis/,0.002844331,0.166043381,
Marubeni,13.951,68.034,1.87,64.665,348,Industrials,Trading Companies,Asia,Japan,Japan,,Teruo Asada,http://www.forbes.com/companies/marubeni/,0.028918271,0.027486257,
Kering,74.464,17.458,2.014,30.713,349,Consumer Discretionary,Apparel/Accessories,Europe,France,France,,François-Henri Pinault,http://www.forbes.com/companies/kering/,0.065574838,0.115362584,
Celgene,61.277,13.509,2.814,34.556,350,Health Care,Biotechs,North America,United States,New Jersey,New Jersey,Mark Alles,http://www.forbes.com/companies/celgene/,0.081433036,0.208305574,
Principal Financial Group,16.905,13.987,2.3586,253.636,351,Financials,Life & Health Insurance,North America,United States,Iowa,Iowa,Daniel Houston,http://www.forbes.com/companies/principal-financial-group/,0.009299153,0.168628012,
Linde,39.744,19.6,1.7588,40.815,352,Materials,Diversified Chemicals,Europe,Germany,Germany,,Aldo Belloni,http://www.forbes.com/companies/linde/,0.043092,0.089734694,
Occidental Petroleum,65.067,13.297,1.894,42.808,353,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Vicki Hollub,http://www.forbes.com/companies/occidental-petroleum/,0.044244067,0.142438144,
SingTel,43.293,12.686,4.0813,36.551,354,Telecommunication Services,Telecommunications services,Asia,Singapore,Singapore,,Sock Chua,http://www.forbes.com/companies/singtel/,0.11166042,0.321716853,
Saudi Electricity,23.542,13.496,1.842,118.86,355,Utilities,Electric Utilities,Asia,Saudi Arabia,Saudi Arabia,,Ziad Al-Shiha,http://www.forbes.com/companies/saudi-electricity/,0.015497224,0.136484884,
Discover Financial Services,26.302,11.865,2.17,101.967,356,Financials,Consumer Financial Services,North America,United States,Illinois,Illinois,David Nelms,http://www.forbes.com/companies/discover-financial-services/,0.021281395,0.182890855,
United Continental Holdings,18.555,38.348,2.182,44.018,357,Industrials,Airline,North America,United States,Illinois,Illinois,Oscar Munoz,http://www.forbes.com/companies/united-continental-holdings/,0.04957063,0.056899969,
Bank Of Shanghai,19.112,11.813,2.2681,292.047,358,Financials,Regional Banks,Asia,China,China,,Yu Jin,http://www.forbes.com/companies/bank-of-shanghai/,0.007766216,0.192000339,
Cardinal Health,17.181,134.426,1.697,41.031,359,Health Care,Pharmaceuticals,North America,United States,Ohio,Ohio,Michael Kaufmann,http://www.forbes.com/companies/cardinal-health/,0.041358972,0.012624046,
TransCanada,39.085,10.468,2.5298,69.041,360,Energy,Oil Services & Equipment,North America,Canada,Canada,,Russell Girling,http://www.forbes.com/companies/transcanada/,0.036641995,0.241669851,
Imperial Tobacco Group,35.746,20.085,1.6233,42.47,361,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Alison Cooper,http://www.forbes.com/companies/imperial-tobacco-group/,0.038222275,0.080821509,
Tyson Foods,24.612,39.983,2.787,28.091,362,Consumer Staples,Food Processing,North America,United States,Arkansas,Arkansas,Thomas Hayes,http://www.forbes.com/companies/tyson-foods/,0.099213271,0.069704624,
China Cinda Asset Management,13.759,15.71,2.6833,212.982,363,Financials,Investment Services,Asia,China,China,,Jian Gong,http://www.forbes.com/companies/china-cinda-asset-management/,0.012598717,0.170802037,
Telstra,28.682,19.907,2.9151,32.993,364,Telecommunication Services,Telecommunications services,Australia,Australia,Australia,,Andrew Penn,http://www.forbes.com/companies/telstra/,0.088355106,0.146435927,
Wesfarmers,37.669,52.959,1.1559,31.651,365,Consumer Staples,Food Retail,Australia,Australia,Australia,,Robert Scott,http://www.forbes.com/companies/wesfarmers/,0.036520173,0.021826318,
Suzuki Motor,27.617,33.9,1.946,31.414,366,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Toshihiro Suzuki,http://www.forbes.com/companies/suzuki-motor/,0.061946903,0.05740413,
Mastercard,201.894,13.343,4.326,22.944,367,Financials,Consumer Financial Services,North America,United States,New York,New York,Ajaypal Banga,http://www.forbes.com/companies/mastercard/,0.188546025,0.324214944,
EOG Resources,67.964,12.465,3.1927,30.741,368,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,William Thomas,http://www.forbes.com/companies/eog-resources/,0.10385804,0.256133173,
WPP,22.481,19.659,2.3395,45.545,369,Consumer Discretionary,Advertising,Europe,United Kingdom,United Kingdom,,Roberto Quarta,http://www.forbes.com/companies/wpp/,0.05136678,0.119004019,
Starbucks,79.033,23.466,4.3904,17.554,370,Consumer Discretionary,Restaurants,North America,United States,Washington,Washington,Kevin Johnson,http://www.forbes.com/companies/starbucks/,0.250108237,0.187096224,
Femsa,31.199,25.24,2.1031,31.286,371,Consumer Staples,Beverages,North America,Mexico,Mexico,,Miguel Silva,http://www.forbes.com/companies/femsa/,0.067221761,0.083324089,
Deutsche Lufthansa,14.134,41.518,2.7755,47.114,372,Industrials,Airline,Europe,Germany,Germany,,Carsten Spohr,http://www.forbes.com/companies/deutsche-lufthansa/,0.058910303,0.066850523,
Automatic Data Processing,56.096,13.072,1.7779,44.066,373,Consumer Discretionary,Business & Personal Services,North America,United States,New Jersey,New Jersey,Carlos Rodriguez,http://www.forbes.com/companies/automatic-data-processing/,0.040346299,0.136008262,
Citigroup,185.788,90.469,-5.838,1922.104,374,Financials,Major Banks,North America,United States,New York,New York,Michael Corbat,http://www.forbes.com/companies/citigroup/,-0.003037297,-0.064530392,
Macquarie Group,27.597,10.29,1.8909,147.444,375,Financials,Investment Services,Australia,Australia,Australia,,Nicholas Moore,http://www.forbes.com/companies/macquarie-group/,0.01282453,0.183760933,
Standard Bank Group,28.534,9.586,2.0162,163.807,376,Financials,Regional Banks,Africa,South Africa,South Africa,,Lungisa Fuzile,http://www.forbes.com/companies/standard-bank-group/,0.012308387,0.210327561,
Norfolk Southern,43.059,10.693,5.519,36.162,377,Industrials,Railroads,North America,United States,Virginia,Virginia,James Squires,http://www.forbes.com/companies/norfolk-southern/,0.152618771,0.516132049,
Telecom Italia,20.241,22.365,1.2644,83.642,378,Telecommunication Services,Telecommunications services,Europe,Italy,Italy,,Amos Genish,http://www.forbes.com/companies/telecom-italia/,0.015116807,0.056534764,
Lincoln National,14.874,14.249,2.012,279.237,379,Financials,Life & Health Insurance,North America,United States,Pennsylvania,Pennsylvania,Dennis Glass,http://www.forbes.com/companies/lincoln-national/,0.007205349,0.141202891,
Southwest Airlines,30.416,21.233,3.6,25.503,380,Industrials,Airline,North America,United States,Texas,Texas,Gary Kelly,http://www.forbes.com/companies/southwest-airlines/,0.141159864,0.169547403,
Sinohydro Group,15.167,41.183,1.1435,96.368,381,Industrials,Construction Services,Asia,China,China,,Hong Sun,http://www.forbes.com/companies/sinohydro-group/,0.011865972,0.027766311,
International Paper,22.216,23.017,2.664,34.03,382,Materials,Paper & Paper Products,North America,United States,Tennessee,Tennessee,Mark Sutton,http://www.forbes.com/companies/international-paper/,0.078283867,0.11574054,
Philips,39.073,20.669,1.8113,30.398,383,Industrials,Conglomerates,Europe,Netherlands,Netherlands,,François van Houten,http://www.forbes.com/companies/philips/,0.059586157,0.087633654,
First Abu Dhabi Bank,33.824,7.277,2.8638,184.54,384,Financials,Regional Banks,Asia,United Arab Emirates,United Arab Emirates,,Abdulhamid Saeed,http://www.forbes.com/companies/first-abu-dhabi-bank/,0.015518587,0.393541294,
Tata Motors,16.816,43.028,1.7138,44.606,385,Consumer Discretionary,Auto & Truck Manufacturers,Asia,India,India,,Günter Butschek,http://www.forbes.com/companies/tata-motors/,0.03842084,0.039829878,
CenturyLink,21.147,19.392,1.341,74.793,386,Telecommunication Services,Telecommunications services,North America,United States,Louisiana,Louisiana,Glen Post,http://www.forbes.com/companies/centurylink/,0.017929485,0.069152228,
Freddie Mac,0.858,73.514,6.34,2022.483,387,Financials,Investment Services,North America,United States,Virginia,Virginia,Donald Layton,http://www.forbes.com/companies/freddie-mac/,0.003134761,0.086242076,
General Electric,126.806,121.455,-7.838,358.109,388,Industrials,Conglomerates,North America,United States,Massachusetts,Massachusetts,John Flannery,http://www.forbes.com/companies/general-electric/,-0.021887191,-0.06453419,
PG&E,22.372,16.923,1.526,68.154,389,Utilities,Electric Utilities,North America,United States,California,California,Geisha Williams,http://www.forbes.com/companies/pge/,0.022390469,0.090173137,
Heineken Holding,28.45,24.688,1.102,51.243,390,Consumer Staples,Beverages,Europe,Netherlands,Netherlands,,Jean-François van Boxmeer,http://www.forbes.com/companies/heineken-holding/,0.021505376,0.044637071,
Magna International,22.562,40.349,2.28,27.089,391,Consumer Discretionary,Auto & Truck Parts,North America,Canada,Canada,,Donald Walker,http://www.forbes.com/companies/magna-international/,0.084167005,0.056506977,
Etisalat,38.238,14.243,2.3047,34.625,392,Telecommunication Services,Telecommunications services,Asia,United Arab Emirates,United Arab Emirates,,Saleh Al-Abdooli,http://www.forbes.com/companies/etisalat/,0.066561733,0.16181282,
Komatsu,31.074,22.567,1.7721,31.712,393,Industrials,Heavy Equipment,Asia,Japan,Japan,,Tetsuji Ohashi,http://www.forbes.com/companies/komatsu/,0.055881054,0.078526167,
Fannie Mae,1.494,114.09,3.951,3364.402,394,Financials,Investment Services,North America,United States,District of Columbia,District of Columbia,Tim Mayopoulos,http://www.forbes.com/companies/fannie-mae/,0.001174354,0.034630555,
Maybank,29.577,9.131,1.7492,189.103,394,Financials,Regional Banks,Asia,Malaysia,Malaysia,,Abdul bin Alias,http://www.forbes.com/companies/maybank/,0.009249985,0.191567189,
Saudi Telecom,42.791,13.577,2.7289,30.669,396,Telecommunication Services,Telecommunications services,Asia,Saudi Arabia,Saudi Arabia,,Nasser A. Al-Nasser,http://www.forbes.com/companies/saudi-telecom/,0.088979099,0.200994329,
VTB Bank,10.97,24.101,1.977,225.969,396,Financials,Regional Banks,Asia,Russia,Russia,,Andrey Kostin,http://www.forbes.com/companies/vtb-bank/,0.008748988,0.082029791,
Booking Holdings,99.874,13.19,2.4924,25.019,398,Consumer Discretionary,Business & Personal Services,North America,United States,Connecticut,Connecticut,Glenn Fogel,http://www.forbes.com/companies/booking/,0.099620289,0.188961334,
Mitsui Fudosan,25.362,15.8,1.4064,59.25,399,Financials,Real Estate,Asia,Japan,Japan,,Hiromichi Iwasa,http://www.forbes.com/companies/mitsui-fudosan/,0.023736709,0.089012658,
Takeda Pharmaceutical,33.396,15.925,1.6959,39.153,400,Health Care,Pharmaceuticals,Asia,Japan,Japan,,Masanobu Komoda,http://www.forbes.com/companies/takeda-pharmaceutical/,0.043314689,0.106492936,
Ameriprise Financial,19.822,12.023,1.671,144.762,401,Financials,Investment Services,North America,United States,Minnesota,Minnesota,Jim Cracchiolo,http://www.forbes.com/companies/ameriprise-financial/,0.011543085,0.138983615,
New China Life Insurance,20.391,22.089,0.937,114.442,402,Financials,Life & Health Insurance,Asia,China,China,,Feng Wan,http://www.forbes.com/companies/new-china-life-insurance/,0.008187554,0.042419304,
Canadian National Railway,58.419,10.151,4.1613,30.063,403,Industrials,Railroads,North America,Canada,Canada,,Jean-Jacques Ruest,http://www.forbes.com/companies/canadian-national-railway/,0.138419319,0.409939907,
